Configuration,AUC,Precision,Recall,F1-score
DiNO Features + svm,0.6428571428571429,0.3103448275862069,0.4186046511627907,0.7966146756469337,0.9400479616306955
DiNO Features + sgd,0.6428571428571429,0.3103448275862069,0.4186046511627907,0.7966146756469337,0.9400479616306955
DiNO Features + knn,0.7857142857142857,0.3548387096774194,0.4888888888888889,0.8680432470755051,0.9448441247002398
